router,granularity,model,horizon_hours,training_time_sec,MAE,RMSE,sMAPE,R2,MSLE,P99_abs_error
dallas,4H,gru_only,12,0.3362846374511719,2001871447.1794872,2007376904.9082625,118.13219024616042,-211.03369907821917,1.912094329657721,2316529820.4800005
dallas,4H,gru_only,24,0.3362846374511719,1760132982.3589745,1765075417.762353,112.4464740050455,-163.91483206201093,1.6840457625863832,2024559936.8000002
dallas,4H,lstm_only,1,0.28917860984802246,1667672884.7179487,1682725179.3871498,108.74329042533064,-163.2848850136473,1.545925209315916,2498798834.8799977
dallas,4H,lstm_only,6,0.28917860984802246,1667672884.7179487,1682725179.3871498,108.74329042533064,-163.2848850136473,1.545925209315916,2498798834.8799977
dallas,4H,lstm_only,12,0.28917860984802246,1717763579.2820513,1732780251.131895,110.48569381316982,-156.99160923007204,1.6183163607557718,2516623671.36
dallas,4H,lstm_only,24,0.28917860984802246,2344685916.1025643,2355640494.193294,125.93371495164045,-292.73196218555523,2.279664970240049,3116225420.4799995
dallas,4H,nhits,1,0.0876774787902832,251179630.15384614,383062499.08651644,28.406056485430593,-7.513546193405423,0.15684695081110447,1326264370.8799982
dallas,4H,nhits,6,0.0876774787902832,251179630.15384614,383062499.08651644,28.406056485430593,-7.513546193405423,0.15684695081110447,1326264370.8799982
dallas,4H,nhits,12,0.0876774787902832,497223560.4102565,535020459.35192055,53.15156823372595,-14.062179652964613,0.33568895428906526,1146606884.1599982
dallas,4H,nhits,24,0.0876774787902832,730683372.5128206,739615972.2913729,70.00406431450205,-27.95647861822874,0.5707001700873163,1015334170.0799998
dallas,6H,hybrid_gru_lstm,1,0.206129789352417,5657295781.925926,5667596362.900218,145.71247535226198,-456.6880771501414,3.5751392576652563,6606452152.479999
dallas,6H,hybrid_gru_lstm,6,0.206129789352417,5657295781.925926,5667596362.900218,145.71247535226198,-456.6880771501414,3.5751392576652563,6606452152.479999
dallas,6H,hybrid_gru_lstm,12,0.206129789352417,3856802447.4074073,3880861387.5165296,129.74100021085619,-210.7733398794591,2.5264914172881094,5147746367.2
dallas,6H,hybrid_gru_lstm,24,0.206129789352417,5127123302.814815,5143814610.55889,143.0950668634488,-368.9623132898703,3.3982804983423325,6326675806.719999
dallas,6H,gru_only,1,0.3665125370025635,1081589157.9259257,1137639760.0901558,68.63526050357251,-17.44086537961011,0.6076388719186673,1925781162.3999991
dallas,6H,gru_only,6,0.3665125370025635,1081589157.9259257,1137639760.0901558,68.63526050357251,-17.44086537961011,0.6076388719186673,1925781162.3999991
dallas,6H,gru_only,12,0.3665125370025635,2293763556.740741,2316418787.294927,105.11117706848256,-74.44825166339437,1.4735105977987346,2924575107.0399985
dallas,6H,gru_only,24,0.3665125370025635,2364458513.4814816,2382327177.22822,108.01531642403002,-78.35781126606264,1.5775784238818247,3111925561.2799997
dallas,6H,lstm_only,1,0.21279239654541016,1415451671.7037034,1583612747.2649863,78.95935554418512,-34.733022363664304,0.800760358583001,4036678523.0399976
dallas,6H,lstm_only,6,0.21279239654541016,1415451671.7037034,1583612747.2649863,78.95935554418512,-34.733022363664304,0.800760358583001,4036678523.0399976
dallas,6H,lstm_only,12,0.21279239654541016,1806559565.0370371,1926724845.1367373,91.80618681204274,-51.19806676406525,1.1142853358688205,4077575493.5999985
dallas,6H,lstm_only,24,0.21279239654541016,3411036006.814815,3477456677.622633,124.81012860646261,-168.08704228492488,2.3079491610586067,5753888104.959998
dallas,6H,nhits,1,0.13303852081298828,2797731484.4444447,2831232014.266298,114.16354997536742,-113.21488168310348,1.8019354599099457,4165772352.959998
dallas,6H,nhits,6,0.13303852081298828,2797731484.4444447,2831232014.266298,114.16354997536742,-113.21488168310348,1.8019354599099457,4165772352.959998
dallas,6H,nhits,12,0.13303852081298828,1566698848.0,1647558730.8734221,85.74518109669833,-37.16777409584914,0.9096787293752108,3389221902.8799953
dallas,6H,nhits,24,0.13303852081298828,1730452554.3703704,1749960312.7244341,92.62038987617963,-41.81966545250881,1.087207121276531,2462300254.399999
dallas,12H,hybrid_gru_lstm,1,0.2571885585784912,4290453189.142857,4363014620.211453,100.80162774297348,-330.27399844660704,1.2612939067627635,6713394495.679998
dallas,12H,hybrid_gru_lstm,6,0.2571885585784912,4290453189.142857,4363014620.211453,100.80162774297348,-330.27399844660704,1.2612939067627635,6713394495.679998
dallas,12H,hybrid_gru_lstm,12,0.2571885585784912,4290453189.142857,4363014620.211453,100.80162774297348,-330.27399844660704,1.2612939067627635,6713394495.679998
dallas,12H,hybrid_gru_lstm,24,0.2571885585784912,6179684714.857142,6234646703.713251,122.22438556353565,-184.15358713127458,2.2493863245783676,8426114402.32
dallas,12H,gru_only,1,0.1809680461883545,9462151438.285715,9472022723.886137,138.67085911364217,-1560.3471527300019,2.9459301885497715,10653795391.679998
dallas,12H,gru_only,6,0.1809680461883545,9462151438.285715,9472022723.886137,138.67085911364217,-1560.3471527300019,2.9459301885497715,10653795391.679998
dallas,12H,gru_only,12,0.1809680461883545,9462151438.285715,9472022723.886137,138.67085911364217,-1560.3471527300019,2.9459301885497715,10653795391.679998
dallas,12H,gru_only,24,0.1809680461883545,8808284522.857143,8828626641.240313,138.30119735036985,-370.2741697148376,3.1445715358525104,10191082349.360003
